dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.018803,44.999980,0.000008,0.000800,0.040000,2.000000,6.281096
0.020000,0.018796,44.999980,0.000015,0.000349,-0.022538,-3.126885,6.281097
0.020000,0.018780,44.999980,0.000031,0.000786,0.021828,2.218278,6.281099
0.020000,0.018752,44.999980,0.000059,0.001397,0.030559,0.436557,6.281102
0.020000,0.018709,44.999981,0.000102,0.002183,0.039290,0.436555,6.281107
0.020000,0.018646,44.999981,0.000165,0.003143,0.048021,0.436553,6.281114
0.020000,0.018560,44.999981,0.000251,0.004278,0.056752,0.436549,6.281123
0.020000,0.018448,44.999981,0.000362,0.005588,0.065483,0.436544,6.281135
0.020000,0.018307,44.999981,0.000504,0.007072,0.074214,0.436537,6.281151
0.020000,0.018132,44.999982,0.000679,0.008731,0.082944,0.436529,6.281171
0.020000,0.017921,44.999982,0.000890,0.010565,0.091675,0.436518,6.281194
0.020000,0.017670,44.999983,0.001141,0.012573,0.100405,0.436505,6.281222
0.020000,0.017374,44.999983,0.001436,0.014755,0.109135,0.436489,6.281255
0.020000,0.017032,44.999984,0.001779,0.017113,0.117864,0.436470,6.281293
0.020000,0.016639,44.999985,0.002172,0.019644,0.126593,0.436449,6.281336
0.020000,0.016192,44.999985,0.002619,0.022351,0.135321,0.436423,6.281386
0.020000,0.015688,44.999986,0.003123,0.025232,0.144049,0.436394,6.281442
0.020000,0.015122,44.999987,0.003689,0.028287,0.152777,0.436362,6.281505
0.020000,0.014492,44.999988,0.004319,0.031517,0.161503,0.436325,6.281575
0.020000,0.013793,44.999989,0.005018,0.034922,0.170229,0.436283,6.281653
0.020000,0.013023,44.999991,0.005788,0.038501,0.178953,0.436237,6.281738
0.020000,0.012178,44.999992,0.006633,0.042255,0.187677,0.436185,6.281832
0.020000,0.011254,44.999993,0.007557,0.046183,0.196400,0.436128,6.281935
0.020000,0.010249,44.999994,0.008562,0.050285,0.205121,0.436065,6.282047
0.020000,0.009157,44.999995,0.009653,0.054562,0.213841,0.435996,6.282168
0.020000,0.007977,44.999996,0.010834,0.059013,0.222559,0.435921,6.282299
0.020000,0.006704,44.999998,0.012106,0.063639,0.231276,0.435838,6.282440
0.020000,0.005336,44.999998,0.013475,0.068438,0.239991,0.435749,6.282592
0.020000,0.003867,44.999999,0.014944,0.073413,0.248704,0.435651,6.282756
0.020000,0.002296,45.000000,0.016515,0.078561,0.257415,0.435545,6.282930
0.020000,0.000618,45.000000,0.018192,0.083883,0.266124,0.435431,6.283117
0.020000,0.004190,45.000000,0.021764,0.178593,4.735502,223.468942,0.000130
0.020000,0.011003,45.000002,0.028577,0.340652,8.102912,168.370480,0.000341
0.020000,0.018235,45.000005,0.035809,0.361572,1.046040,-352.843581,0.000566
0.020000,0.025897,45.000010,0.043471,0.383112,1.076980,1.546957,0.000803
0.020000,0.034002,45.000018,0.051576,0.405270,1.107885,1.545283,0.001055
0.020000,0.042563,45.000028,0.060137,0.428045,1.138756,1.543518,0.001320
0.020000,0.051592,45.000041,0.069166,0.451437,1.169589,1.541660,0.001600
0.020000,0.061101,45.000058,0.078675,0.475444,1.200383,1.539707,0.001896
0.020000,0.071105,45.000078,0.088679,0.500226,1.239082,1.934975,0.002206
0.020000,0.081620,45.000103,0.099194,0.525746,1.276011,1.846417,0.002532
0.020000,0.092653,45.000133,0.110227,0.551618,1.293596,0.879265,0.002875
0.020000,0.104215,45.000168,0.121789,0.578103,1.324240,1.532186,0.003234
0.020000,0.116319,45.000210,0.133893,0.605200,1.354834,1.529738,0.003610
0.020000,0.128977,45.000258,0.146551,0.632907,1.385378,1.527189,0.004003
0.020000,0.142207,45.000314,0.159782,0.661543,1.431793,2.320725,0.004414
0.020000,0.156022,45.000378,0.173596,0.690728,1.459244,1.372555,0.004843
0.020000,0.170427,45.000451,0.188002,0.720286,1.477912,0.933427,0.005290
0.020000,0.185436,45.000534,0.203011,0.750451,1.508257,1.517206,0.005756
0.020000,0.201060,45.000627,0.218635,0.781222,1.538539,1.514144,0.006242
0.020000,0.217325,45.000733,0.234900,0.813243,1.601031,3.124594,0.006747
0.020000,0.234230,45.000851,0.251806,0.845277,1.601732,0.035027,0.007273
0.020000,0.251787,45.000984,0.269364,0.877884,1.630345,1.430659,0.007819
0.020000,0.270009,45.001132,0.287586,0.911137,1.662656,1.615552,0.008385
0.020000,0.288922,45.001296,0.306500,0.945679,1.727102,3.222303,0.008973
0.020000,0.308523,45.001478,0.326102,0.980113,1.721664,-0.271921,0.009583
0.020000,0.328825,45.001679,0.346405,1.015143,1.751509,1.492272,0.010214
0.020000,0.349851,45.001900,0.367432,1.051337,1.809724,2.910751,0.010869
0.020000,0.371607,45.002144,0.389189,1.087879,1.827102,0.868918,0.011546
0.020000,0.394100,45.002412,0.411684,1.124721,1.842071,0.748438,0.012246
0.020000,0.417353,45.002705,0.434939,1.162739,1.900909,2.941868,0.012970
0.020000,0.441374,45.003025,0.458962,1.201153,1.920701,0.989631,0.013718
0.020000,0.466167,45.003375,0.483757,1.239793,1.932022,0.566016,0.014490
0.020000,0.491762,45.003756,0.509356,1.279904,2.005555,3.676697,0.015287
0.020000,0.518157,45.004171,0.535753,1.319899,1.999724,-0.291576,0.016109
0.020000,0.545367,45.004620,0.562967,1.360671,2.038583,1.942939,0.016957
0.020000,0.573412,45.005108,0.591016,1.402460,2.089467,2.544234,0.017832
0.020000,0.602289,45.005636,0.619898,1.444080,2.081005,-0.423126,0.018732
0.020000,0.632031,45.006207,0.649646,1.487414,2.166706,4.285044,0.019659
0.020000,0.662631,45.006824,0.680251,1.530274,2.142985,-1.186029,0.020614
0.020000,0.694116,45.007488,0.711743,1.574600,2.216315,3.666494,0.021596
0.020000,0.726486,45.008204,0.744121,1.618896,2.214768,-0.077336,0.022606
0.020000,0.759764,45.008973,0.777408,1.664353,2.272882,2.905669,0.023645
0.020000,0.793953,45.009800,0.811607,1.709934,2.279020,0.306900,0.024712
0.020000,0.829075,45.010688,0.846740,1.756663,2.336449,2.871466,0.025809
0.020000,0.865130,45.011639,0.882808,1.803376,2.335684,-0.038279,0.026935
0.020000,0.902146,45.012657,0.919838,1.851517,2.407056,3.568623,0.028091
0.020000,0.940117,45.013747,0.957825,1.899344,2.391335,-0.786039,0.029278
0.020000,0.979075,45.014911,0.996801,1.948774,2.471494,4.007932,0.030495
0.020000,1.019017,45.016155,1.036761,1.998037,2.463167,-0.416344,0.031744
0.020000,1.059959,45.017481,1.077726,2.048209,2.508581,2.270690,0.033024
0.020000,1.101920,45.018895,1.119710,2.099248,2.551939,2.167921,0.034337
