dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,36.000000,0.000008,0.000800,0.040000,2.000000,6.281096
0.020000,0.000000,36.000000,0.000040,0.002400,0.080000,2.000000,6.281097
0.020000,0.000000,36.000000,0.000112,0.004800,0.120000,2.000000,6.281099
0.020000,0.000000,36.000000,0.000240,0.008000,0.160000,2.000000,6.281102
0.020000,0.000000,36.000000,0.000440,0.012000,0.200000,2.000000,6.281107
0.020000,0.000000,36.000000,0.000728,0.016800,0.240000,2.000000,6.281114
0.020000,0.000000,36.000000,0.001120,0.022400,0.280000,2.000000,6.281123
0.020000,0.000000,36.000000,0.001632,0.028800,0.320000,2.000000,6.281135
0.020000,0.000000,36.000000,0.002280,0.036000,0.360000,2.000000,6.281151
0.020000,0.000000,36.000000,0.003080,0.044000,0.400000,2.000000,6.281171
0.020000,0.000000,36.000000,0.004048,0.052800,0.440000,2.000000,6.281194
0.020000,0.000000,36.000000,0.005200,0.062400,0.480000,2.000000,6.281222
0.020000,0.000000,36.000000,0.006552,0.072800,0.520000,2.000000,6.281255
0.020000,0.000000,36.000000,0.008120,0.084000,0.560000,2.000000,6.281293
0.020000,0.000000,36.000000,0.009920,0.096000,0.600000,2.000000,6.281336
0.020000,0.000000,36.000000,0.011968,0.108800,0.640000,2.000000,6.281386
0.020000,0.000000,36.000000,0.014280,0.122400,0.680000,2.000000,6.281442
0.020000,0.000000,36.000000,0.016872,0.136800,0.720000,2.000000,6.281505
0.020000,0.000000,36.000000,0.019760,0.152000,0.760000,2.000000,6.281575
0.020000,0.000000,36.000000,0.022960,0.168000,0.800000,2.000000,6.281653
0.020000,0.000000,36.000000,0.026488,0.184800,0.840000,2.000000,6.281738
0.020000,0.000000,36.000000,0.030360,0.202400,0.880000,2.000000,6.281832
0.020000,0.000000,36.000000,0.034592,0.220800,0.920000,2.000000,6.281935
0.020000,0.000000,36.000000,0.039200,0.240000,0.960000,2.000000,6.282047
0.020000,0.000000,36.000000,0.044200,0.260000,1.000000,2.000000,6.282168
0.020000,0.000000,36.000000,0.049608,0.280800,1.040000,2.000000,6.282299
0.020000,0.000000,36.000000,0.055440,0.302400,1.080000,2.000000,6.282440
0.020000,0.000000,36.000000,0.061712,0.324800,1.120000,2.000000,6.282592
0.020000,0.000000,36.000000,0.068440,0.348000,1.160000,2.000000,6.282756
0.020000,0.000000,36.000000,0.075640,0.372000,1.200000,2.000000,6.282930
0.020000,0.000000,36.000000,0.083328,0.396800,1.240000,2.000000,6.283117
0.020000,0.005360,36.000000,0.091520,0.422400,1.280000,2.000000,0.000130
0.020000,0.014075,36.000002,0.100232,0.448800,1.320000,2.000000,0.000341
0.020000,0.023325,36.000007,0.109480,0.476000,1.360000,2.000000,0.000566
0.020000,0.033126,36.000013,0.119280,0.504000,1.400000,2.000000,0.000803
0.020000,0.043495,36.000023,0.129648,0.532800,1.440000,2.000000,0.001055
0.020000,0.054446,36.000036,0.140600,0.562400,1.480000,2.000000,0.001320
0.020000,0.065996,36.000053,0.152152,0.592800,1.520000,2.000000,0.001600
0.020000,0.078161,36.000074,0.164320,0.624000,1.560000,2.000000,0.001896
0.020000,0.090960,36.000100,0.177120,0.656000,1.600000,2.000000,0.002206
0.020000,0.104412,36.000132,0.190568,0.688800,1.640000,2.000000,0.002532
0.020000,0.118526,36.000170,0.204680,0.722400,1.680000,2.000000,0.002875
0.020000,0.133318,36.000216,0.219472,0.756800,1.720000,2.000000,0.003234
0.020000,0.148805,36.000269,0.234960,0.792000,1.760000,2.000000,0.003610
