dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.018803,27.000020,0.000008,0.000800,0.040000,2.000000,6.281096
0.020000,-0.018796,27.000020,0.000015,0.000349,-0.022538,-3.126885,6.281097
0.020000,-0.018780,27.000020,0.000031,0.000786,0.021828,2.218278,6.281099
0.020000,-0.018752,27.000020,0.000059,0.001397,0.030559,0.436557,6.281102
0.020000,-0.018709,27.000019,0.000102,0.002183,0.039290,0.436555,6.281107
0.020000,-0.018646,27.000019,0.000165,0.003143,0.048021,0.436553,6.281114
0.020000,-0.018560,27.000019,0.000251,0.004278,0.056752,0.436549,6.281123
0.020000,-0.018448,27.000019,0.000362,0.005588,0.065483,0.436544,6.281135
0.020000,-0.018307,27.000019,0.000504,0.007072,0.074214,0.436537,6.281151
0.020000,-0.018132,27.000018,0.000679,0.008731,0.082944,0.436529,6.281171
0.020000,-0.017921,27.000018,0.000890,0.010565,0.091675,0.436518,6.281194
0.020000,-0.017670,27.000017,0.001141,0.012573,0.100405,0.436505,6.281222
0.020000,-0.017374,27.000017,0.001436,0.014755,0.109135,0.436489,6.281255
0.020000,-0.017032,27.000016,0.001779,0.017113,0.117864,0.436470,6.281293
0.020000,-0.016639,27.000015,0.002172,0.019644,0.126593,0.436449,6.281336
0.020000,-0.016192,27.000015,0.002619,0.022351,0.135321,0.436423,6.281386
0.020000,-0.015688,27.000014,0.003123,0.025232,0.144049,0.436394,6.281442
0.020000,-0.015122,27.000013,0.003689,0.028287,0.152777,0.436362,6.281505
0.020000,-0.014492,27.000012,0.004319,0.031517,0.161503,0.436325,6.281575
0.020000,-0.013793,27.000011,0.005018,0.034922,0.170229,0.436283,6.281653
0.020000,-0.013023,27.000009,0.005788,0.038501,0.178953,0.436237,6.281738
0.020000,-0.012178,27.000008,0.006633,0.042255,0.187677,0.436185,6.281832
0.020000,-0.011254,27.000007,0.007557,0.046183,0.196400,0.436128,6.281935
0.020000,-0.010249,27.000006,0.008562,0.050285,0.205121,0.436065,6.282047
0.020000,-0.009157,27.000005,0.009653,0.054562,0.213841,0.435996,6.282168
0.020000,-0.007977,27.000004,0.010834,0.059013,0.222559,0.435921,6.282299
0.020000,-0.006704,27.000002,0.012106,0.063639,0.231276,0.435838,6.282440
0.020000,-0.005336,27.000002,0.013475,0.068438,0.239991,0.435749,6.282592
0.020000,-0.003867,27.000001,0.014944,0.073413,0.248704,0.435651,6.282756
0.020000,-0.002296,27.000000,0.016515,0.078561,0.257415,0.435545,6.282930
0.020000,-0.000618,27.000000,0.018192,0.083883,0.266124,0.435431,6.283117
0.020000,0.006530,27.000000,0.025340,0.357402,13.675959,670.491791,0.000130
0.020000,0.017146,27.000003,0.035957,0.530833,8.671523,-250.221814,0.000341
0.020000,0.028415,27.000008,0.047226,0.563448,1.630755,-352.038421,0.000566
0.020000,0.040356,27.000016,0.059167,0.597030,1.679096,2.417076,0.000803
0.020000,0.052987,27.000028,0.071798,0.631578,1.727398,2.415070,0.001055
0.020000,0.066329,27.000044,0.085140,0.667091,1.775657,2.412949,0.001320
0.020000,0.080401,27.000064,0.099211,0.703568,1.823871,2.410709,0.001600
0.020000,0.095221,27.000090,0.114032,0.741009,1.872038,2.408347,0.001896
0.020000,0.110814,27.000122,0.129625,0.779660,1.932540,3.025137,0.002206
