dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,36.000000,0.000008,0.000800,0.040000,2.000000,0.000000
0.020000,0.000000,36.000000,0.000040,0.002400,0.080000,2.000000,0.000000
0.020000,0.000000,36.000000,0.000112,0.004800,0.120000,2.000000,0.000000
0.020000,0.000000,36.000000,0.000240,0.008000,0.160000,2.000000,0.000000
0.020000,0.000000,36.000000,0.000440,0.012000,0.200000,2.000000,0.000000
0.020000,0.000000,36.000000,0.000728,0.016800,0.240000,2.000000,0.000000
0.020000,0.000000,36.000000,0.001120,0.022400,0.280000,2.000000,0.000000
0.020000,0.000000,36.000000,0.001632,0.028800,0.320000,2.000000,0.000000
0.020000,0.000000,36.000000,0.002280,0.036000,0.360000,2.000000,0.000000
0.020000,0.000000,36.000000,0.003080,0.044000,0.400000,2.000000,0.000000
0.020000,0.000000,36.000000,0.004048,0.052800,0.440000,2.000000,0.000000
0.020000,0.000000,36.000000,0.005200,0.062400,0.480000,2.000000,0.000000
0.020000,0.000000,36.000000,0.006552,0.072800,0.520000,2.000000,0.000000
0.020000,0.000000,36.000000,0.008120,0.084000,0.560000,2.000000,0.000000
0.020000,0.000000,36.000000,0.009920,0.096000,0.600000,2.000000,0.000000
0.020000,0.000000,36.000000,0.011968,0.108800,0.640000,2.000000,0.000000
0.020000,0.000000,36.000000,0.014280,0.122400,0.680000,2.000000,0.000000
0.020000,0.000000,36.000000,0.016872,0.136800,0.720000,2.000000,0.000000
0.020000,0.000000,36.000000,0.019760,0.152000,0.760000,2.000000,0.000000
0.020000,0.000000,36.000000,0.022960,0.168000,0.800000,2.000000,0.000000
0.020000,0.000000,36.000000,0.026488,0.184800,0.840000,2.000000,0.000000
0.020000,0.000000,36.000000,0.030360,0.202400,0.880000,2.000000,0.000000
0.020000,0.000000,36.000000,0.034592,0.220800,0.920000,2.000000,0.000000
0.020000,0.000000,36.000000,0.039200,0.240000,0.960000,2.000000,0.000000
0.020000,0.000000,36.000000,0.044200,0.260000,1.000000,2.000000,0.000000
0.020000,0.000000,36.000000,0.049608,0.280800,1.040000,2.000000,0.000000
0.020000,0.000000,36.000000,0.055440,0.302400,1.080000,2.000000,0.000000
0.020000,0.000000,36.000000,0.061712,0.324800,1.120000,2.000000,0.000000
0.020000,0.000000,36.000000,0.068440,0.348000,1.160000,2.000000,0.000000
0.020000,0.000640,36.000000,0.075640,0.372000,1.200000,2.000000,0.000000
0.020000,0.008328,36.000000,0.083328,0.396800,1.240000,2.000000,0.000000
0.020000,0.016520,36.000000,0.091520,0.422400,1.280000,2.000000,0.000000
0.020000,0.025232,36.000000,0.100232,0.448800,1.320000,2.000000,0.000000
0.020000,0.034480,36.000000,0.109480,0.476000,1.360000,2.000000,0.000000
0.020000,0.044280,36.000000,0.119280,0.504000,1.400000,2.000000,0.000000
0.020000,0.054648,36.000000,0.129648,0.532800,1.440000,2.000000,0.000000
0.020000,0.065600,36.000000,0.140600,0.562400,1.480000,2.000000,0.000000
0.020000,0.077152,36.000000,0.152152,0.592800,1.520000,2.000000,0.000000
0.020000,0.089320,36.000000,0.164320,0.624000,1.560000,2.000000,0.000000
0.020000,0.102120,36.000000,0.177120,0.656000,1.600000,2.000000,0.000000
0.020000,0.115568,36.000000,0.190568,0.688800,1.640000,2.000000,0.000000
0.020000,0.129680,36.000000,0.204680,0.722400,1.680000,2.000000,0.000000
0.020000,0.144472,36.000000,0.219472,0.756800,1.720000,2.000000,0.000000
0.020000,0.159960,36.000000,0.234960,0.792000,1.760000,2.000000,0.000000
0.020000,0.176160,36.000000,0.251160,0.828000,1.800000,2.000000,0.000000
0.020000,0.193088,36.000000,0.268088,0.864800,1.840000,2.000000,0.000000
0.020000,0.210760,36.000000,0.285760,0.902400,1.880000,2.000000,0.000000
0.020000,0.229192,36.000000,0.304192,0.940800,1.920000,2.000000,0.000000
0.020000,0.248400,36.000000,0.323400,0.980000,1.960000,2.000000,0.000000
0.020000,0.268400,36.000000,0.343400,1.020000,2.000000,2.000000,0.000000
0.020000,0.289208,36.000000,0.364208,1.060800,2.040000,2.000000,0.000000
0.020000,0.310840,36.000000,0.385840,1.102400,2.080000,2.000000,0.000000
0.020000,0.333312,36.000000,0.408312,1.144800,2.120000,2.000000,0.000000
0.020000,0.356640,36.000000,0.431640,1.188000,2.160000,2.000000,0.000000
0.020000,0.380840,36.000000,0.455840,1.232000,2.200000,2.000000,0.000000
0.020000,0.405928,36.000000,0.480928,1.276800,2.240000,2.000000,0.000000
0.020000,0.431920,36.000000,0.506920,1.322400,2.280000,2.000000,0.000000
0.020000,0.458832,36.000000,0.533832,1.368800,2.320000,2.000000,0.000000
0.020000,0.486680,36.000000,0.561680,1.416000,2.360000,2.000000,0.000000
0.020000,0.515480,36.000000,0.590480,1.464000,2.400000,2.000000,0.000000
0.020000,0.545248,36.000000,0.620248,1.512800,2.440000,2.000000,0.000000
0.020000,0.576000,36.000000,0.651000,1.562400,2.480000,2.000000,0.000000
0.020000,0.607752,36.000000,0.682752,1.612800,2.520000,2.000000,0.000000
0.020000,0.640520,36.000000,0.715520,1.664000,2.560000,2.000000,0.000000
0.020000,0.674320,36.000000,0.749320,1.716000,2.600000,2.000000,0.000000
0.020000,0.709168,36.000000,0.784168,1.768800,2.640000,2.000000,0.000000
0.020000,0.745080,36.000000,0.820080,1.822400,2.680000,2.000000,0.000000
0.020000,0.782072,36.000000,0.857072,1.876800,2.720000,2.000000,0.000000
0.020000,0.820160,36.000000,0.895160,1.932000,2.760000,2.000000,0.000000
0.020000,0.859360,36.000000,0.934360,1.988000,2.800000,2.000000,0.000000
0.020000,0.899688,36.000000,0.974688,2.044800,2.840000,2.000000,0.000000
0.020000,0.941160,36.000000,1.016160,2.102400,2.880000,2.000000,0.000000
0.020000,0.983792,36.000000,1.058792,2.160800,2.920000,2.000000,0.000000
0.020000,1.027600,36.000000,1.102600,2.220000,2.960000,2.000000,0.000000
0.020000,1.072600,36.000000,1.147600,2.280000,3.000000,2.000000,0.000000
0.020000,1.118808,36.000000,1.193808,2.340800,3.040000,2.000000,0.000000
0.020000,1.166240,36.000000,1.241240,2.402400,3.080000,2.000000,0.000000
0.020000,1.214912,36.000000,1.289912,2.464800,3.120000,2.000000,0.000000
0.020000,1.264840,36.000000,1.339840,2.528000,3.160000,2.000000,0.000000
0.020000,1.316040,36.000000,1.391040,2.592000,3.200000,2.000000,0.000000
0.020000,1.368528,36.000000,1.443528,2.656800,3.240000,2.000000,0.000000
0.020000,1.422320,36.000000,1.497320,2.722400,3.280000,2.000000,0.000000
0.020000,1.477432,36.000000,1.552432,2.788800,3.320000,2.000000,0.000000
0.020000,1.533880,36.000000,1.608880,2.856000,3.360000,2.000000,0.000000
0.020000,1.591680,36.000000,1.666680,2.924000,3.400000,2.000000,0.000000
0.020000,1.650848,36.000000,1.725848,2.992800,3.440000,2.000000,0.000000
0.020000,1.711400,36.000000,1.786400,3.062400,3.480000,2.000000,0.000000
0.020000,1.773352,36.000000,1.848352,3.132800,3.520000,2.000000,0.000000
0.020000,1.836720,36.000000,1.911720,3.204000,3.560000,2.000000,0.000000
0.020000,1.901520,36.000000,1.976520,3.276000,3.600000,2.000000,0.000000
0.020000,1.967768,36.000000,2.042768,3.348800,3.640000,2.000000,0.000000
0.020000,2.035480,36.000000,2.110480,3.422400,3.680000,2.000000,0.000000
0.020000,2.104672,36.000000,2.179672,3.496800,3.720000,2.000000,0.000000
0.020000,2.175360,36.000000,2.250360,3.572000,3.760000,2.000000,0.000000
0.020000,2.247560,36.000000,2.322560,3.648000,3.800000,2.000000,0.000000
0.020000,2.321288,36.000000,2.396288,3.724800,3.840000,2.000000,0.000000
0.020000,2.396560,36.000000,2.471560,3.802400,3.880000,2.000000,0.000000
0.020000,2.473392,36.000000,2.548392,3.880800,3.920000,2.000000,0.000000
