dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.096112,91.677923,0.000008,0.000800,0.040000,2.000000,0.001570
0.020000,5.096115,91.677923,0.000011,0.000167,-0.031639,-3.581973,0.001569
0.020000,5.096123,91.677923,0.000019,0.000376,0.010451,2.104507,0.001569
0.020000,5.096136,91.677923,0.000032,0.000669,0.014631,0.209013,0.001567
0.020000,5.096157,91.677923,0.000053,0.001045,0.018811,0.209012,0.001565
0.020000,5.096187,91.677923,0.000083,0.001505,0.022991,0.209011,0.001561
0.020000,5.096228,91.677924,0.000124,0.002048,0.027172,0.209009,0.001557
0.020000,5.096281,91.677924,0.000178,0.002675,0.031352,0.209006,0.001551
0.020000,5.096349,91.677924,0.000245,0.003386,0.035532,0.209003,0.001543
0.020000,5.096433,91.677924,0.000329,0.004180,0.039712,0.208998,0.001534
0.020000,5.096534,91.677924,0.000430,0.005058,0.043892,0.208992,0.001523
0.020000,5.096654,91.677924,0.000551,0.006019,0.048071,0.208986,0.001510
0.020000,5.096796,91.677924,0.000692,0.007065,0.052251,0.208977,0.001494
0.020000,5.096959,91.677925,0.000856,0.008193,0.056430,0.208967,0.001476
0.020000,5.097148,91.677925,0.001044,0.009405,0.060609,0.208956,0.001455
0.020000,5.097362,91.677925,0.001258,0.010701,0.064788,0.208943,0.001431
0.020000,5.097603,91.677926,0.001499,0.012080,0.068967,0.208927,0.001404
0.020000,5.097874,91.677926,0.001770,0.013543,0.073145,0.208910,0.001374
0.020000,5.098176,91.677926,0.002072,0.015090,0.077323,0.208891,0.001340
0.020000,5.098510,91.677927,0.002407,0.016720,0.081500,0.208869,0.001303
0.020000,5.098879,91.677927,0.002775,0.018433,0.085677,0.208845,0.001262
0.020000,5.099283,91.677928,0.003180,0.020230,0.089853,0.208818,0.001217
0.020000,5.099726,91.677928,0.003622,0.022111,0.094029,0.208789,0.001168
0.020000,5.100207,91.677929,0.004104,0.024075,0.098204,0.208757,0.001115
0.020000,5.100730,91.677929,0.004626,0.026123,0.102379,0.208722,0.001057
0.020000,5.101295,91.677930,0.005191,0.028254,0.106552,0.208683,0.000994
0.020000,5.101904,91.677931,0.005800,0.030468,0.110725,0.208642,0.000926
0.020000,5.102559,91.677931,0.006456,0.032766,0.114897,0.208597,0.000853
0.020000,5.103262,91.677932,0.007159,0.035147,0.119068,0.208548,0.000775
0.020000,5.104015,91.677932,0.007911,0.037612,0.123238,0.208496,0.000692
0.020000,5.104818,91.677933,0.008714,0.040160,0.127407,0.208440,0.000602
0.020000,5.105674,91.677933,0.009570,0.042792,0.131574,0.208380,0.000507
0.020000,5.106584,91.677934,0.010480,0.045507,0.135741,0.208315,0.000406
0.020000,5.107550,91.677934,0.011446,0.048305,0.139906,0.208247,0.000299
0.020000,5.108574,91.677934,0.012470,0.051186,0.144069,0.208174,0.000185
0.020000,5.109657,91.677934,0.013553,0.054151,0.148231,0.208096,0.000065
0.020000,5.116166,91.677934,0.020063,0.325488,13.566878,670.932331,6.283123
0.020000,5.128928,91.677933,0.032825,0.638092,15.630207,103.166454,6.282989
0.020000,5.142370,91.677929,0.046266,0.672083,1.699535,-696.533599,6.282848
0.020000,5.156509,91.677923,0.060405,0.706952,1.743446,2.195559,6.282699
0.020000,5.171363,91.677915,0.075259,0.742699,1.787333,2.194358,6.282543
0.020000,5.186949,91.677904,0.090846,0.779323,1.831195,2.193098,6.282379
0.020000,5.203286,91.677889,0.107182,0.816823,1.875031,2.191775,6.282208
