dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.110240,82.677934,0.000008,0.000800,0.040000,2.000000,0.001570
0.020000,5.110240,82.677934,0.000040,0.002400,0.080000,2.000000,0.001569
0.020000,5.110240,82.677934,0.000112,0.004800,0.120000,2.000000,0.001569
0.020000,5.110240,82.677934,0.000240,0.008000,0.160000,2.000000,0.001567
0.020000,5.110240,82.677934,0.000440,0.012000,0.200000,2.000000,0.001565
0.020000,5.110240,82.677934,0.000728,0.016800,0.240000,2.000000,0.001561
0.020000,5.110240,82.677934,0.001120,0.022400,0.280000,2.000000,0.001557
0.020000,5.110240,82.677934,0.001632,0.028800,0.320000,2.000000,0.001551
0.020000,5.110240,82.677934,0.002280,0.036000,0.360000,2.000000,0.001543
0.020000,5.110240,82.677934,0.003080,0.044000,0.400000,2.000000,0.001534
0.020000,5.110240,82.677934,0.004048,0.052800,0.440000,2.000000,0.001523
0.020000,5.110240,82.677934,0.005200,0.062400,0.480000,2.000000,0.001510
0.020000,5.110240,82.677934,0.006552,0.072800,0.520000,2.000000,0.001494
0.020000,5.110240,82.677934,0.008120,0.084000,0.560000,2.000000,0.001476
0.020000,5.110240,82.677934,0.009920,0.096000,0.600000,2.000000,0.001455
0.020000,5.110240,82.677934,0.011968,0.108800,0.640000,2.000000,0.001431
0.020000,5.110240,82.677934,0.014280,0.122400,0.680000,2.000000,0.001404
0.020000,5.110240,82.677934,0.016872,0.136800,0.720000,2.000000,0.001374
0.020000,5.110240,82.677934,0.019760,0.152000,0.760000,2.000000,0.001340
0.020000,5.110240,82.677934,0.022960,0.168000,0.800000,2.000000,0.001303
0.020000,5.110240,82.677934,0.026488,0.184800,0.840000,2.000000,0.001262
0.020000,5.110240,82.677934,0.030360,0.202400,0.880000,2.000000,0.001217
0.020000,5.110240,82.677934,0.034592,0.220800,0.920000,2.000000,0.001168
0.020000,5.110240,82.677934,0.039200,0.240000,0.960000,2.000000,0.001115
0.020000,5.110240,82.677934,0.044200,0.260000,1.000000,2.000000,0.001057
0.020000,5.110240,82.677934,0.049608,0.280800,1.040000,2.000000,0.000994
0.020000,5.110240,82.677934,0.055440,0.302400,1.080000,2.000000,0.000926
0.020000,5.110240,82.677934,0.061712,0.324800,1.120000,2.000000,0.000853
0.020000,5.110240,82.677934,0.068440,0.348000,1.160000,2.000000,0.000775
0.020000,5.110240,82.677934,0.075640,0.372000,1.200000,2.000000,0.000692
0.020000,5.110240,82.677934,0.083328,0.396800,1.240000,2.000000,0.000602
0.020000,5.110240,82.677934,0.091520,0.422400,1.280000,2.000000,0.000507
0.020000,5.110240,82.677934,0.100232,0.448800,1.320000,2.000000,0.000406
0.020000,5.110240,82.677934,0.109480,0.476000,1.360000,2.000000,0.000299
0.020000,5.110240,82.677934,0.119280,0.504000,1.400000,2.000000,0.000185
0.020000,5.110240,82.677934,0.129648,0.532800,1.440000,2.000000,0.000065
0.020000,5.115606,82.677934,0.140600,0.562400,1.480000,2.000000,6.283123
0.020000,5.127161,82.677933,0.152152,0.592800,1.520000,2.000000,6.282989
0.020000,5.139331,82.677930,0.164320,0.624000,1.560000,2.000000,6.282848
0.020000,5.152133,82.677924,0.177120,0.656000,1.600000,2.000000,6.282699
0.020000,5.165582,82.677917,0.190568,0.688800,1.640000,2.000000,6.282543
0.020000,5.179694,82.677906,0.204680,0.722400,1.680000,2.000000,6.282379
0.020000,5.194486,82.677893,0.219472,0.756800,1.720000,2.000000,6.282208
0.020000,5.209972,82.677877,0.234960,0.792000,1.760000,2.000000,6.282028
0.020000,5.226169,82.677856,0.251160,0.828000,1.800000,2.000000,6.281840
0.020000,5.243093,82.677832,0.268088,0.864800,1.840000,2.000000,6.281643
0.020000,5.260768,82.677803,0.285760,0.902400,1.880000,2.000000,6.281438
0.020000,5.279204,82.677769,0.304192,0.940800,1.920000,2.000000,6.281224
0.020000,5.298414,82.677729,0.323400,0.980000,1.960000,2.000000,6.281001
0.020000,5.318414,82.677683,0.343400,1.020000,2.000000,2.000000,6.280769
0.020000,5.339221,82.677630,0.364208,1.060800,2.040000,2.000000,6.280528
0.020000,5.360849,82.677570,0.385840,1.102400,2.080000,2.000000,6.280277
0.020000,5.383317,82.677502,0.408312,1.144800,2.120000,2.000000,6.280016
