dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.124369,73.677946,0.000008,0.000800,0.040000,2.000000,0.001570
0.020000,5.124366,73.677946,0.000011,0.000167,-0.031639,-3.581973,0.001569
0.020000,5.124358,73.677945,0.000019,0.000376,0.010451,2.104507,0.001569
0.020000,5.124345,73.677945,0.000032,0.000669,0.014631,0.209013,0.001567
0.020000,5.124324,73.677945,0.000053,0.001045,0.018811,0.209012,0.001565
0.020000,5.124294,73.677945,0.000083,0.001505,0.022991,0.209011,0.001561
0.020000,5.124253,73.677945,0.000124,0.002048,0.027172,0.209009,0.001557
0.020000,5.124199,73.677945,0.000178,0.002675,0.031352,0.209006,0.001551
0.020000,5.124131,73.677945,0.000245,0.003386,0.035532,0.209003,0.001543
0.020000,5.124048,73.677945,0.000329,0.004180,0.039712,0.208998,0.001534
0.020000,5.123947,73.677945,0.000430,0.005058,0.043892,0.208992,0.001523
0.020000,5.123826,73.677945,0.000551,0.006019,0.048071,0.208986,0.001510
0.020000,5.123685,73.677944,0.000692,0.007065,0.052251,0.208977,0.001494
0.020000,5.123521,73.677944,0.000856,0.008193,0.056430,0.208967,0.001476
0.020000,5.123333,73.677944,0.001044,0.009405,0.060609,0.208956,0.001455
0.020000,5.123119,73.677944,0.001258,0.010701,0.064788,0.208943,0.001431
0.020000,5.122877,73.677943,0.001499,0.012080,0.068967,0.208927,0.001404
0.020000,5.122607,73.677943,0.001770,0.013543,0.073145,0.208910,0.001374
0.020000,5.122305,73.677943,0.002072,0.015090,0.077323,0.208891,0.001340
0.020000,5.121970,73.677942,0.002407,0.016720,0.081500,0.208869,0.001303
0.020000,5.121602,73.677942,0.002775,0.018433,0.085677,0.208845,0.001262
0.020000,5.121197,73.677941,0.003180,0.020230,0.089853,0.208818,0.001217
0.020000,5.120755,73.677941,0.003622,0.022111,0.094029,0.208789,0.001168
0.020000,5.120273,73.677940,0.004104,0.024075,0.098204,0.208757,0.001115
0.020000,5.119751,73.677939,0.004626,0.026123,0.102379,0.208722,0.001057
0.020000,5.119186,73.677939,0.005191,0.028254,0.106552,0.208683,0.000994
0.020000,5.118576,73.677938,0.005800,0.030468,0.110725,0.208642,0.000926
0.020000,5.117921,73.677938,0.006456,0.032766,0.114897,0.208597,0.000853
0.020000,5.117218,73.677937,0.007159,0.035147,0.119068,0.208548,0.000775
0.020000,5.116466,73.677937,0.007911,0.037612,0.123238,0.208496,0.000692
0.020000,5.115663,73.677936,0.008714,0.040160,0.127407,0.208440,0.000602
0.020000,5.114807,73.677936,0.009570,0.042792,0.131574,0.208380,0.000507
0.020000,5.113897,73.677935,0.010480,0.045507,0.135741,0.208315,0.000406
0.020000,5.112931,73.677935,0.011446,0.048305,0.139906,0.208247,0.000299
0.020000,5.111907,73.677935,0.012470,0.051186,0.144069,0.208174,0.000185
0.020000,5.110824,73.677934,0.013553,0.054151,0.148231,0.208096,0.000065
0.020000,5.115045,73.677934,0.017774,0.211074,7.846178,384.897366,6.283123
0.020000,5.125393,73.677933,0.028122,0.517397,15.316137,373.497935,6.282989
0.020000,5.136293,73.677930,0.039022,0.544958,1.378025,-696.905578,6.282848
0.020000,5.147757,73.677925,0.050486,0.573230,1.413625,1.779967,6.282699
0.020000,5.159801,73.677919,0.062530,0.602214,1.449204,1.778975,6.282543
0.020000,5.172440,73.677909,0.075169,0.631909,1.484763,1.777934,6.282379
0.020000,5.185686,73.677898,0.088415,0.662315,1.520300,1.776843,6.282208
0.020000,5.199555,73.677883,0.102284,0.693432,1.555814,1.775702,6.282028
0.020000,5.214060,73.677865,0.116789,0.725258,1.591304,1.774510,6.281840
0.020000,5.229216,73.677843,0.131945,0.757793,1.626769,1.773265,6.281643
0.020000,5.245044,73.677817,0.147774,0.791448,1.682760,2.799533,6.281438
0.020000,5.261554,73.677786,0.164283,0.825484,1.701778,0.950891,6.281224
0.020000,5.278757,73.677750,0.181486,0.860165,1.734041,1.613166,6.281001
0.020000,5.296668,73.677709,0.199398,0.895553,1.769417,1.768796,6.280769
0.020000,5.315301,73.677662,0.218031,0.931648,1.804763,1.767278,6.280528
0.020000,5.334670,73.677608,0.237400,0.968450,1.840077,1.765703,6.280277
0.020000,5.354791,73.677547,0.257520,1.006031,1.879048,1.948554,6.280016
0.020000,5.375686,73.677478,0.278416,1.044791,1.938026,2.948927,6.279745
0.020000,5.397361,73.677400,0.300091,1.083731,1.946975,0.447413,6.279464
0.020000,5.419828,73.677313,0.322558,1.123374,1.982172,1.759859,6.279173
0.020000,5.443102,73.677216,0.345832,1.163721,2.017332,1.757993,6.278871
0.020000,5.467198,73.677109,0.369928,1.204770,2.052453,1.756067,6.278559
0.020000,5.492139,73.676989,0.394869,1.247081,2.115527,3.153701,6.278235
0.020000,5.517933,73.676857,0.420664,1.289736,2.132781,0.862717,6.277901
0.020000,5.544591,73.676712,0.447322,1.332913,2.158848,1.303316,6.277555
0.020000,5.572127,73.676552,0.474858,1.376790,2.193823,1.748778,6.277199
0.020000,5.600557,73.676376,0.503289,1.421555,2.238280,2.222863,6.276830
0.020000,5.629907,73.676184,0.532639,1.467502,2.297349,2.953449,6.276450
0.020000,5.660176,73.675974,0.562909,1.513499,2.299826,0.123849,6.276057
0.020000,5.691379,73.675746,0.594113,1.560191,2.334637,1.740504,6.275653
0.020000,5.723534,73.675497,0.626270,1.607833,2.382094,2.372855,6.275236
0.020000,5.756666,73.675226,0.659403,1.656632,2.439960,2.893303,6.274806
0.020000,5.790773,73.674933,0.693511,1.705436,2.440188,0.011400,6.274364
0.020000,5.825871,73.674615,0.728610,1.754933,2.474813,1.731249,6.273909
0.020000,5.861987,73.674272,0.764728,1.805890,2.547878,3.653271,6.273441
0.020000,5.899127,73.673901,0.801869,1.857081,2.559533,0.582723,6.272959
0.020000,5.937298,73.673501,0.840043,1.908678,2.579852,1.015964,6.272464
0.020000,5.976527,73.673071,0.879274,1.961552,2.643726,3.193684,6.271956
0.020000,6.016826,73.672608,0.919576,2.015104,2.677603,1.693865,6.271433
0.020000,6.058199,73.672110,0.960952,2.068794,2.684481,0.343932,6.270897
