dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,36.000000,0.000008,0.000800,0.040000,2.000000,6.280530
0.020000,0.000000,36.000000,0.000040,0.002400,0.080000,2.000000,6.280530
0.020000,0.000000,36.000000,0.000112,0.004800,0.120000,2.000000,6.280531
0.020000,0.000000,36.000000,0.000240,0.008000,0.160000,2.000000,6.280533
0.020000,0.000000,36.000000,0.000440,0.012000,0.200000,2.000000,6.280536
0.020000,0.000000,36.000000,0.000728,0.016800,0.240000,2.000000,6.280541
0.020000,0.000000,36.000000,0.001120,0.022400,0.280000,2.000000,6.280547
0.020000,0.000000,36.000000,0.001632,0.028800,0.320000,2.000000,6.280555
0.020000,0.000000,36.000000,0.002280,0.036000,0.360000,2.000000,6.280565
0.020000,0.000000,36.000000,0.003080,0.044000,0.400000,2.000000,6.280578
0.020000,0.000000,36.000000,0.004048,0.052800,0.440000,2.000000,6.280593
0.020000,0.000000,36.000000,0.005200,0.062400,0.480000,2.000000,6.280611
0.020000,0.000000,36.000000,0.006552,0.072800,0.520000,2.000000,6.280633
0.020000,0.000000,36.000000,0.008120,0.084000,0.560000,2.000000,6.280657
0.020000,0.000000,36.000000,0.009920,0.096000,0.600000,2.000000,6.280685
0.020000,0.000000,36.000000,0.011968,0.108800,0.640000,2.000000,6.280718
0.020000,0.000000,36.000000,0.014280,0.122400,0.680000,2.000000,6.280754
0.020000,0.000000,36.000000,0.016872,0.136800,0.720000,2.000000,6.280795
0.020000,0.000000,36.000000,0.019760,0.152000,0.760000,2.000000,6.280840
0.020000,0.000000,36.000000,0.022960,0.168000,0.800000,2.000000,6.280891
0.020000,0.000000,36.000000,0.026488,0.184800,0.840000,2.000000,6.280946
0.020000,0.000000,36.000000,0.030360,0.202400,0.880000,2.000000,6.281007
0.020000,0.000000,36.000000,0.034592,0.220800,0.920000,2.000000,6.281073
0.020000,0.000000,36.000000,0.039200,0.240000,0.960000,2.000000,6.281146
0.020000,0.000000,36.000000,0.044200,0.260000,1.000000,2.000000,6.281225
0.020000,0.000000,36.000000,0.049608,0.280800,1.040000,2.000000,6.281310
0.020000,0.000000,36.000000,0.055440,0.302400,1.080000,2.000000,6.281401
0.020000,0.000000,36.000000,0.061712,0.324800,1.120000,2.000000,6.281500
0.020000,0.000000,36.000000,0.068440,0.348000,1.160000,2.000000,6.281606
0.020000,0.000000,36.000000,0.075640,0.372000,1.200000,2.000000,6.281719
0.020000,0.000000,36.000000,0.083328,0.396800,1.240000,2.000000,6.281840
0.020000,0.000000,36.000000,0.091520,0.422400,1.280000,2.000000,6.281969
0.020000,0.000000,36.000000,0.100232,0.448800,1.320000,2.000000,6.282106
0.020000,0.000000,36.000000,0.109480,0.476000,1.360000,2.000000,6.282252
0.020000,0.000000,36.000000,0.119280,0.504000,1.400000,2.000000,6.282406
0.020000,0.000000,36.000000,0.129648,0.532800,1.440000,2.000000,6.282569
0.020000,0.000000,36.000000,0.140600,0.562400,1.480000,2.000000,6.282741
0.020000,0.000000,36.000000,0.152152,0.592800,1.520000,2.000000,6.282923
0.020000,0.000000,36.000000,0.164320,0.624000,1.560000,2.000000,6.283115
0.020000,0.008318,36.000001,0.177120,0.656000,1.600000,2.000000,0.000131
0.020000,0.021775,36.000004,0.190568,0.688800,1.640000,2.000000,0.000343
0.020000,0.035894,36.000010,0.204680,0.722400,1.680000,2.000000,0.000565
0.020000,0.050692,36.000020,0.219472,0.756800,1.720000,2.000000,0.000798
0.020000,0.066183,36.000034,0.234960,0.792000,1.760000,2.000000,0.001042
0.020000,0.082385,36.000053,0.251160,0.828000,1.800000,2.000000,0.001298
0.020000,0.099312,36.000078,0.268088,0.864800,1.840000,2.000000,0.001565
0.020000,0.116980,36.000108,0.285760,0.902400,1.880000,2.000000,0.001843
0.020000,0.135405,36.000144,0.304192,0.940800,1.920000,2.000000,0.002134
0.020000,0.154602,36.000188,0.323400,0.980000,1.960000,2.000000,0.002437
0.020000,0.174596,36.000240,0.343400,1.020000,2.000000,2.000000,0.002752
0.020000,0.195417,36.000301,0.364208,1.060800,2.040000,2.000000,0.003081
0.020000,0.217058,36.000371,0.385840,1.102400,2.080000,2.000000,0.003423
0.020000,0.239535,36.000452,0.408312,1.144800,2.120000,2.000000,0.003778
0.020000,0.262863,36.000545,0.431640,1.188000,2.160000,2.000000,0.004147
0.020000,0.287058,36.000650,0.455840,1.232000,2.200000,2.000000,0.004529
0.020000,0.312135,36.000768,0.480928,1.276800,2.240000,2.000000,0.004926
0.020000,0.338111,36.000901,0.506920,1.322400,2.280000,2.000000,0.005337
0.020000,0.365040,36.001051,0.533832,1.368800,2.320000,2.000000,0.005763
0.020000,0.392898,36.001218,0.561680,1.416000,2.360000,2.000000,0.006204
0.020000,0.421701,36.001403,0.590480,1.464000,2.400000,2.000000,0.006661
0.020000,0.451464,36.001608,0.620248,1.512800,2.440000,2.000000,0.007133
0.020000,0.482202,36.001835,0.651000,1.562400,2.480000,2.000000,0.007620
0.020000,0.513944,36.002085,0.682752,1.612800,2.520000,2.000000,0.008124
0.020000,0.546729,36.002360,0.715520,1.664000,2.560000,2.000000,0.008644
0.020000,0.580535,36.002661,0.749320,1.716000,2.600000,2.000000,0.009181
0.020000,0.615379,36.002990,0.784168,1.768800,2.640000,2.000000,0.009735
0.020000,0.651275,36.003350,0.820080,1.822400,2.680000,2.000000,0.010306
0.020000,0.688260,36.003742,0.857072,1.876800,2.720000,2.000000,0.010894
0.020000,0.726363,36.004169,0.895160,1.932000,2.760000,2.000000,0.011501
0.020000,0.765565,36.004632,0.934360,1.988000,2.800000,2.000000,0.012125
0.020000,0.805879,36.005134,0.974688,2.044800,2.840000,2.000000,0.012768
0.020000,0.847331,36.005677,1.016160,2.102400,2.880000,2.000000,0.013429
0.020000,0.889980,36.006264,1.058792,2.160800,2.920000,2.000000,0.014109
0.020000,0.933789,36.006897,1.102600,2.220000,2.960000,2.000000,0.014809
0.020000,0.978770,36.007580,1.147600,2.280000,3.000000,2.000000,0.015528
0.020000,1.024966,36.008314,1.193808,2.340800,3.040000,2.000000,0.016267
0.020000,1.072410,36.009104,1.241240,2.402400,3.080000,2.000000,0.017026
0.020000,1.121072,36.009952,1.289912,2.464800,3.120000,2.000000,0.017805
0.020000,1.170967,36.010860,1.339840,2.528000,3.160000,2.000000,0.018605
0.020000,1.222180,36.011834,1.391040,2.592000,3.200000,2.000000,0.019426
0.020000,1.274662,36.012876,1.443528,2.656800,3.240000,2.000000,0.020269
0.020000,1.328422,36.013989,1.497320,2.722400,3.280000,2.000000,0.021133
0.020000,1.383535,36.015178,1.552432,2.788800,3.320000,2.000000,0.022019
0.020000,1.439976,36.016447,1.608880,2.856000,3.360000,2.000000,0.022927
0.020000,1.497737,36.017798,1.666680,2.924000,3.400000,2.000000,0.023858
0.020000,1.556906,36.019238,1.725848,2.992800,3.440000,2.000000,0.024811
0.020000,1.617441,36.020770,1.786400,3.062400,3.480000,2.000000,0.025788
0.020000,1.679346,36.022398,1.848352,3.132800,3.520000,2.000000,0.026788
0.020000,1.742717,36.024128,1.911720,3.204000,3.560000,2.000000,0.027813
0.020000,1.807481,36.025964,1.976520,3.276000,3.600000,2.000000,0.028861
0.020000,1.873700,36.027911,2.042768,3.348800,3.640000,2.000000,0.029933
0.020000,1.941390,36.029975,2.110480,3.422400,3.680000,2.000000,0.031031
0.020000,2.010521,36.032160,2.179672,3.496800,3.720000,2.000000,0.032153
