dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.255353,77.715328,0.000008,0.000800,0.040000,2.000000,6.282072
0.020000,0.255355,77.715328,0.000010,0.000124,-0.033806,-3.690289,6.282072
0.020000,0.255361,77.715328,0.000016,0.000279,0.007743,2.077427,6.282073
0.020000,0.255371,77.715328,0.000026,0.000496,0.010840,0.154854,6.282074
0.020000,0.255386,77.715328,0.000041,0.000774,0.013937,0.154852,6.282076
0.020000,0.255409,77.715328,0.000064,0.001115,0.017034,0.154849,6.282078
0.020000,0.255439,77.715328,0.000094,0.001518,0.020131,0.154844,6.282081
0.020000,0.255479,77.715328,0.000134,0.001982,0.023228,0.154838,6.282086
0.020000,0.255529,77.715328,0.000184,0.002509,0.026324,0.154829,6.282091
0.020000,0.255591,77.715328,0.000246,0.003097,0.029420,0.154818,6.282098
0.020000,0.255666,77.715328,0.000321,0.003747,0.032517,0.154804,6.282107
0.020000,0.255755,77.715328,0.000410,0.004460,0.035612,0.154787,6.282116
0.020000,0.255859,77.715328,0.000515,0.005234,0.038708,0.154767,6.282128
0.020000,0.255981,77.715328,0.000636,0.006070,0.041802,0.154743,6.282142
0.020000,0.256120,77.715328,0.000775,0.006968,0.044897,0.154715,6.282157
0.020000,0.256279,77.715327,0.000934,0.007928,0.047990,0.154683,6.282175
0.020000,0.256458,77.715327,0.001113,0.008949,0.051083,0.154646,6.282195
0.020000,0.256658,77.715327,0.001314,0.010033,0.054175,0.154604,6.282217
0.020000,0.256882,77.715327,0.001537,0.011178,0.057267,0.154557,6.282242
0.020000,0.257130,77.715327,0.001785,0.012385,0.060357,0.154505,6.282269
0.020000,0.257403,77.715326,0.002058,0.013654,0.063446,0.154446,6.282300
0.020000,0.257702,77.715326,0.002358,0.014985,0.066533,0.154382,6.282333
0.020000,0.258030,77.715326,0.002685,0.016377,0.069619,0.154311,6.282369
0.020000,0.258387,77.715326,0.003042,0.017831,0.072704,0.154233,6.282409
0.020000,0.258774,77.715325,0.003429,0.019347,0.075787,0.154148,6.282452
0.020000,0.259192,77.715325,0.003847,0.020924,0.078868,0.154056,6.282498
0.020000,0.259643,77.715325,0.004299,0.022563,0.081947,0.153956,6.282549
0.020000,0.260129,77.715324,0.004784,0.024264,0.085024,0.153848,6.282602
0.020000,0.260649,77.715324,0.005304,0.026026,0.088099,0.153732,6.282660
0.020000,0.261206,77.715324,0.005861,0.027849,0.091171,0.153607,6.282722
0.020000,0.261801,77.715324,0.006456,0.029734,0.094241,0.153473,6.282788
0.020000,0.262434,77.715323,0.007090,0.031680,0.097307,0.153330,6.282859
0.020000,0.263108,77.715323,0.007763,0.033688,0.100371,0.153177,6.282934
0.020000,0.263823,77.715323,0.008478,0.035756,0.103431,0.153014,6.283013
0.020000,0.264581,77.715323,0.009236,0.037886,0.106488,0.152841,6.283097
0.020000,0.265490,77.715323,0.010145,0.045464,0.378925,13.621837,0.000001
0.020000,0.277290,77.715323,0.021945,0.589985,27.226019,1342.354734,0.000095
0.020000,0.289736,77.715325,0.034391,0.622290,1.615267,-1280.537590,0.000194
0.020000,0.302845,77.715328,0.047500,0.655455,1.658227,2.147997,0.000299
0.020000,0.316634,77.715333,0.061290,0.689478,1.701175,2.147393,0.000409
0.020000,0.331122,77.715340,0.075777,0.724360,1.744110,2.146758,0.000524
0.020000,0.346324,77.715349,0.090979,0.760101,1.787032,2.146092,0.000645
0.020000,0.362258,77.715360,0.106913,0.796700,1.829940,2.145393,0.000772
0.020000,0.378941,77.715374,0.123596,0.834156,1.872833,2.144660,0.000905
0.020000,0.396390,77.715391,0.141045,0.872471,1.915711,2.143894,0.001044
0.020000,0.414625,77.715412,0.159280,0.911743,1.963591,2.393991,0.001189
0.020000,0.433662,77.715436,0.178318,0.951867,2.006230,2.131940,0.001341
0.020000,0.453518,77.715464,0.198173,0.992760,2.044668,1.921897,0.001499
0.020000,0.474208,77.715497,0.218863,1.034510,2.087486,2.140916,0.001663
0.020000,0.495750,77.715534,0.240405,1.077116,2.130285,2.139970,0.001835
0.020000,0.518161,77.715577,0.262817,1.120577,2.173065,2.138986,0.002013
0.020000,0.541459,77.715626,0.286115,1.164894,2.215824,2.137964,0.002198
0.020000,0.565665,77.715682,0.310320,1.210283,2.269459,2.681721,0.002391
0.020000,0.590792,77.715745,0.335447,1.256348,2.303255,1.689788,0.002591
0.020000,0.616856,77.715815,0.361512,1.303237,2.344451,2.059840,0.002798
0.020000,0.643876,77.715893,0.388532,1.350980,2.387130,2.133913,0.003012
0.020000,0.671867,77.715981,0.416523,1.399575,2.429783,2.132689,0.003235
0.020000,0.700851,77.716078,0.445507,1.449196,2.481058,2.563707,0.003465
0.020000,0.730843,77.716185,0.475500,1.499629,2.521614,2.027804,0.003703
0.020000,0.761859,77.716304,0.506515,1.550791,2.558109,1.824748,0.003949
0.020000,0.793915,77.716435,0.538572,1.602804,2.600665,2.127800,0.004204
0.020000,0.827029,77.716578,0.571686,1.655706,2.645099,2.221744,0.004466
0.020000,0.861223,77.716736,0.605880,1.709727,2.701027,2.796365,0.004737
0.020000,0.896508,77.716908,0.641166,1.764301,2.728706,1.383944,0.005017
0.020000,0.932902,77.717095,0.677561,1.819724,2.771150,2.122205,0.005306
0.020000,0.970423,77.717300,0.715082,1.876073,2.817473,2.316151,0.005603
0.020000,1.009093,77.717523,0.753752,1.933501,2.871377,2.695199,0.005909
0.020000,1.048921,77.717764,0.793582,1.991478,2.898863,1.374301,0.006224
0.020000,1.089927,77.718026,0.834588,2.050302,2.941180,2.115876,0.006549
0.020000,1.132131,77.718310,0.876793,2.110271,2.998457,2.863822,0.006882
0.020000,1.175548,77.718616,0.920212,2.170916,3.032262,1.690259,0.007226
0.020000,1.220193,77.718946,0.964857,2.232286,3.068520,1.812898,0.007579
0.020000,1.266086,77.719303,1.010752,2.294745,3.122952,2.721626,0.007941
0.020000,1.313245,77.719686,1.057913,2.358021,3.163797,2.042241,0.008313
0.020000,1.361682,77.720098,1.106351,2.421932,3.195554,1.587833,0.008696
0.020000,1.411420,77.720540,1.156091,2.486988,3.252756,2.860083,0.009088
0.020000,1.462473,77.721014,1.207147,2.552776,3.289433,1.833874,0.009491
0.020000,1.514855,77.721522,1.259531,2.619221,3.322256,1.641125,0.009903
0.020000,1.568592,77.722066,1.313271,2.686980,3.387928,3.283617,0.010327
0.020000,1.623692,77.722647,1.368374,2.755161,3.409052,1.056199,0.010760
0.020000,1.680176,77.723267,1.424861,2.824339,3.458892,2.492017,0.011205
0.020000,1.738062,77.723929,1.482750,2.894497,3.507935,2.452138,0.011660
0.020000,1.797361,77.724634,1.542054,2.965154,3.532838,1.245135,0.012126
0.020000,1.858100,77.725385,1.602798,3.037220,3.603276,3.521936,0.012603
0.020000,1.920287,77.726184,1.664989,3.109563,3.617145,0.693417,0.013091
0.020000,1.983944,77.727033,1.728653,3.183178,3.680767,3.181112,0.013590
0.020000,2.049085,77.727935,1.793800,3.257351,3.708662,1.394738,0.014101
0.020000,2.115730,77.728893,1.860451,3.332571,3.760983,2.616052,0.014623
0.020000,2.183892,77.729908,1.928621,3.408513,3.797090,1.805348,0.015157
0.020000,2.253592,77.730983,1.998329,3.485391,3.843909,2.340981,0.015702
0.020000,2.324844,77.732122,2.069590,3.563039,3.882426,1.925837,0.016259
0.020000,2.397666,77.733327,2.142423,3.641630,3.929531,2.355221,0.016828
0.020000,2.472074,77.734601,2.216841,3.720923,3.964670,1.756976,0.017409
0.020000,2.548088,77.735947,2.292867,3.801280,4.017828,2.657917,0.018002
0.020000,2.625718,77.737368,2.370510,3.882156,4.043823,1.299718,0.018607
0.020000,2.704990,77.738867,2.449797,3.964332,4.108783,3.248032,0.019224
0.020000,2.785912,77.740449,2.530734,4.046870,4.126884,0.905020,0.019854
0.020000,2.868508,77.742115,2.613347,4.130637,4.188381,3.074875,0.020496
0.020000,2.952790,77.743871,2.697647,4.215024,4.219354,1.548639,0.021151
0.020000,3.038775,77.745718,2.783651,4.300216,4.259601,2.012326,0.021818
0.020000,3.126476,77.747662,2.871374,4.386128,4.295569,1.798423,0.022498
0.020000,3.215885,77.749705,2.960807,4.471651,4.276175,-0.969693,0.023191
0.020000,3.307007,77.751850,3.051954,4.557333,4.284085,0.395502,0.023896
0.020000,3.399841,77.754103,3.144816,4.643092,4.287926,0.192052,0.024614
0.020000,3.494384,77.756465,3.239387,4.728590,4.274927,-0.649972,0.025344
0.020000,3.590636,77.758940,3.335671,4.814185,4.279720,0.239663,0.026087
0.020000,3.688600,77.761533,3.433669,4.899918,4.286670,0.347508,0.026842
0.020000,3.788270,77.764248,3.533377,4.985381,4.273137,-0.676658,0.027610
0.020000,3.889647,77.767087,3.634794,5.070836,4.272762,-0.018755,0.028389
0.020000,3.992734,77.770055,3.737924,5.156490,4.282693,0.496561,0.029181
